observation_uuid,start_lat,start_lon,start_code_postal,end_lat,end_lon,end_code_postal,rain,heat,day_of_week,hour,minute,fee
267ce9c1-166f-ca8f-9162-7297fdf3aece,48.8383,2.3573,75013,48.8503,2.3089,75007,3,6,Sunday,12,20,2.09
ca82007f-db0b-921f-426a-fb9c2653b39e,48.822,2.3419,75014,48.85,2.3383,75006,7,3,Sunday,14,1,2.39
3335219c-0922-4fa0-365d-3eed327bb556,48.8694,2.2844,75016,48.8762,2.2963,75017,7,0,Tuesday,14,3,0.89
17bab888-7923-72e2-31a2-baf81c660eb4,48.8741,2.2814,75016,48.8912,2.3021,75017,3,1,Monday,13,12,2.19
ccfba69e-a296-1b71-42ef-aa5d8cda6308,48.8413,2.4024,75012,48.8665,2.3722,75011,3,7,Saturday,13,42,2.79
46501244-8d24-b762-2aec-df5eda006805,48.853,2.4104,75020,48.8477,2.3772,75012,1,5,Friday,13,24,1.19
4bc7051b-9711-1924-80d5-59d4628d87fd,48.8763,2.29,75017,48.8696,2.2955,75016,4,6,Monday,14,27,1.09
a6d95dc6-000a-c086-90ee-93b91bfff4d0,48.8662,2.2887,75016,48.897,2.3169,75017,5,4,Wednesday,12,43,2.59
9c684df1-0a51-5e87-46ba-68553cad275a,48.8698,2.3894,75020,48.8832,2.3706,75019,5,1,Wednesday,12,53,1.49
d138d150-8557-716a-a750-2a812227d96d,48.869,2.4007,75020,48.8448,2.3784,75012,7,2,Wednesday,13,9,2.59
403af7af-f2d7-2a3b-0e35-22edb63250a2,48.8472,2.2956,75015,48.8576,2.3049,75007,6,9,Thursday,14,58,2.19
159a1f56-4875-7d87-5304-ca7f598ec4e7,48.8795,2.321,75008,48.8687,2.3496,75002,6,4,Sunday,12,27,1.89
dd620222-d9ef-e28b-3bcb-50b3961d8dcf,48.8722,2.3907,75020,48.8715,2.35,75010,0,8,Tuesday,13,0,1.89
b52f6009-76c0-c651-f361-c49764e0dab3,48.8274,2.342,75013,48.8374,2.3718,75013,1,1,Thursday,12,53,1.79
baf239b9-ebcb-61c0-1270-ff80ede013c6,48.8827,2.2997,75017,48.8442,2.3304,75006,4,8,Thursday,13,0,3.49
9ad73702-140a-642e-10e8-57f88986148f,48.8303,2.3643,75013,48.8593,2.4017,75020,5,3,Sunday,13,14,2.99
80678ee3-88e0-4d93-dc5a-7bc04c831ff4,48.8468,2.2802,75015,48.8376,2.2969,75015,6,3,Thursday,13,50,1.19
d2a6e532-fce0-995a-323f-b553eb3b42b4,48.8853,2.3151,75017,48.8772,2.2899,75017,2,7,Thursday,14,54,1.29
e2f88051-c13c-6688-8f1b-5be16d4ba69c,48.8403,2.2606,75016,48.846,2.2968,75015,3,4,Friday,14,18,1.59
0597aab6-14d3-0dbc-a0ac-f4c9658de17e,48.8687,2.3496,75002,48.8801,2.3505,75010,4,4,Tuesday,13,54,2.69
75a25457-d5a7-161c-6b8a-cec71f7b2da2,48.8467,2.3491,75005,48.8424,2.3476,75005,1,4,Friday,13,18,0.69
fe4114ce-f114-33a7-4a94-6f02689f2d23,48.8462,2.3679,75012,48.8281,2.3673,75013,6,6,Tuesday,12,46,1.89
9fa54b2b-4baf-452c-e107-e332a64de767,48.8594,2.3724,75011,48.8759,2.3422,75009,0,1,Sunday,12,17,1.89
ea045534-f679-6fd3-cd74-afec1e548a7c,48.8912,2.3619,75018,48.8602,2.3669,75003,9,8,Tuesday,13,22,2.69
a97d229a-eab9-4eba-93f2-8ab5616cd40e,48.8585,2.4072,75020,48.8534,2.3994,75020,8,7,Tuesday,14,27,0.99
4dadbfb0-08b4-f16f-30a4-07e9923e267e,48.8576,2.3678,75003,48.862,2.3862,75011,6,9,Sunday,13,44,1.59
691fc182-239c-2506-0446-b47a0c7bd852,48.8284,2.33,75014,48.8298,2.3343,75014,0,1,Saturday,14,44,0.59
bd2cdb8d-39eb-fa32-6c1b-681192dbd613,48.8463,2.2863,75015,48.8608,2.3174,75007,5,8,Saturday,12,48,2.09
81a486b6-b8b3-cc8e-ca16-9cf450f6dfc7,48.9014,2.386,75019,48.8768,2.3997,75019,7,2,Wednesday,14,3,1.89
28e1a8af-a022-5512-9ed0-3a7ecfc80b4e,48.8584,2.3488,75004,48.8512,2.3478,75005,6,5,Saturday,12,47,1.09
ba006c2a-95f0-cb7a-b4cf-a78d80cd31d4,48.8622,2.3084,75007,48.8576,2.3049,75007,9,7,Thursday,13,30,0.99
3b3a0aed-3d36-1779-8dfd-001027ce5dba,48.8503,2.3668,75004,48.8665,2.3819,75011,0,2,Tuesday,13,51,2.19
070cd0e8-dd17-5fb5-d005-155c763f6720,48.8496,2.3083,75007,48.8262,2.3192,75014,5,6,Sunday,13,16,1.99
401f8134-c3e5-3827-02bc-0550dfeddf7e,48.8583,2.4006,75020,48.8544,2.4092,75020,6,2,Monday,12,7,0.99
762a14bb-d991-2bed-f9fc-b9882b363a8c,48.8531,2.2717,75016,48.8404,2.26,75016,6,2,Monday,12,7,1.99
85a1282a-0761-585b-4168-705a533c9a31,48.8261,2.3071,75014,48.8623,2.2822,75016,1,3,Tuesday,14,45,3.29
ac705f76-fe7a-695b-4afc-3e3aa6c19f8d,48.8408,2.3919,75012,48.8472,2.3527,75005,6,5,Saturday,12,47,1.59
6ac85f42-a9c0-fdec-6c25-aad69dcc668f,48.8371,2.2802,75015,48.8258,2.3224,75014,3,0,Monday,14,30,3.19
2732acd6-2f34-8ad2-e688-f05e7e6f332d,48.8282,2.3707,75013,48.8189,2.3484,75013,7,4,Saturday,12,49,1.89
f208075c-c31b-16d0-6b3b-eb4f0a676a61,48.8739,2.3707,75010,48.8664,2.358,75003,3,4,Thursday,13,49,0.89
9cec5333-b416-cbed-01d5-80ec4a53ba16,48.8996,2.3456,75018,48.8818,2.3467,75009,7,1,Wednesday,14,36,1.19
955d0e77-fb5e-b866-2640-211e29f2c3c7,48.8837,2.3251,75017,48.8911,2.327,75018,3,4,Friday,12,13,1.79
796e76fb-872f-e361-42b2-8540224bfb0d,48.853,2.386,75011,48.8512,2.3503,75005,8,5,Thursday,14,56,2.39
7c2951b4-f177-2181-9d4f-be486769d877,48.8334,2.2944,75015,48.8315,2.3033,75015,2,7,Monday,13,40,1.19
2e00ecbf-ca18-71c6-9e7b-6789873c6d8b,48.8424,2.3476,75005,48.8646,2.3455,75001,8,0,Sunday,14,12,2.39
ebceb340-71b2-caba-0800-f129579704ad,48.839,2.3497,75005,48.8357,2.2908,75015,0,2,Friday,14,7,3.19
2ca723c4-8f4e-d442-14aa-aefe153251c9,48.8562,2.3713,75011,48.822,2.3554,75013,2,8,Wednesday,13,50,2.49
088affd2-f3f8-a6ad-585c-7b8c67b340cf,48.86,2.368,75011,48.852,2.387,75011,4,5,Friday,14,44,1.79
fb15e358-7eb3-246e-84f1-6155a11e7f4a,48.8477,2.2896,75015,48.8696,2.2955,75016,8,3,Tuesday,14,17,2.29
96033638-fa81-c2c4-18ee-4498f14e268a,48.8252,2.3282,75014,48.8345,2.3266,75014,8,2,Tuesday,12,23,1.39
39d5b552-a867-a0f0-a8e6-a772b9cde60c,48.8683,2.3498,75002,48.8447,2.383,75012,1,1,Saturday,12,55,2.59
5a8ce27b-2f70-b365-286c-6c4a3f796219,48.8834,2.3388,75018,48.8689,2.3739,75011,7,3,Sunday,13,17,2.19
00c99f27-6e4d-d42f-3306-f416b09b8163,48.8334,2.2944,75015,48.8701,2.322,75008,0,6,Wednesday,14,28,3.29
48e178c2-b286-5b86-7576-227f17d368bd,48.8442,2.3171,75015,48.8811,2.3299,75009,2,6,Thursday,13,19,2.49
e3f220bd-a042-0393-72a8-583d44e3a656,48.8748,2.2971,75008,48.8911,2.299,75017,7,6,Friday,14,18,1.99
74d43d6d-628f-2a7a-2750-3d1e1756e0d4,48.8603,2.4031,75020,48.8638,2.3977,75020,5,9,Saturday,14,42,0.99
0df099c5-62a7-7dc7-b273-38fcdfa69923,48.8737,2.3903,75020,48.8586,2.3984,75020,6,9,Friday,13,21,1.29
07991818-0e7b-dcac-cf1d-04cc8eb0f052,48.8809,2.3098,75017,48.8938,2.3169,75017,0,8,Sunday,12,22,0.89
aef31182-bc42-940c-b81a-840c91368e6b,48.8418,2.4034,75012,48.8661,2.4081,75020,7,3,Tuesday,14,28,1.59
6368a611-1cd3-b7c9-b2c6-e2e23bf497b2,48.8956,2.3721,75019,48.8703,2.3415,75002,6,0,Friday,14,58,3.99
35783f66-2114-c2d6-50ea-1324862f78e1,48.8351,2.3975,75012,48.8553,2.3885,75011,0,8,Sunday,12,22,1.69
f89d4123-1718-a90a-80f6-2b31c5b0bb0d,48.8977,2.3725,75019,48.8971,2.346,75018,0,2,Friday,14,7,1.39
6f790959-a3e0-4b3b-756b-0715e7180322,48.893,2.3464,75018,48.8837,2.291,75017,6,7,Monday,12,21,2.49
1d77ce40-58d8-7776-a51a-d4f3a699bae0,48.869,2.4007,75020,48.8643,2.4041,75020,0,7,Wednesday,12,10,2.59
f381331c-95ef-bec5-ef2d-2a65ede4f2bc,48.8809,2.3921,75019,48.8688,2.4082,75020,0,3,Sunday,12,4,1.49
07e124e3-2292-04c0-ccbc-b225b7c8dc61,48.8919,2.3632,75018,48.8861,2.3509,75018,2,9,Friday,14,28,1.19
338f8437-faa2-cbad-467a-6bdfb63c1dd8,48.8972,2.3529,75018,48.8667,2.3758,75011,9,0,Friday,12,39,2.09
70a3eddd-79fb-3bcd-f382-650595d570e1,48.8341,2.3181,75014,48.832,2.3681,75013,2,6,Wednesday,12,18,1.99
711fa10a-0b29-75c6-918f-f3582408c3c2,48.8322,2.3151,75014,48.8715,2.3262,75008,3,5,Wednesday,12,13,3.09
5db914eb-b6d8-d3a5-028d-ba177f301ca3,48.8595,2.3578,75003,48.8648,2.3737,75011,1,8,Saturday,13,47,1.09
0bc6174e-d9cd-4b91-d7e7-ea726a65113d,48.8753,2.3415,75009,48.8628,2.3766,75011,1,9,Sunday,14,39,2.39
bad4c288-0bf5-6ed8-b93c-2989c399fd7f,48.8513,2.3493,75005,48.8577,2.3535,75004,3,9,Wednesday,13,5,0.99
c4fa9dd1-9160-9261-6e10-7e22fa7199d6,48.8359,2.3381,75014,48.8511,2.3703,75012,5,2,Sunday,12,21,1.79
73ec1e79-dd15-9d1d-830d-98eec1c30b57,48.8879,2.3207,75017,48.8835,2.3252,75017,6,7,Sunday,13,0,0.79
8e106701-a478-856a-52a0-68f73613b453,48.8483,2.2749,75016,48.8455,2.2947,75015,1,5,Sunday,12,33,1.29
1c6d0e35-8a50-82e2-1407-9f9eba95b4f6,48.8424,2.3476,75005,48.8664,2.358,75003,1,7,Friday,14,55,2.59
4ce68c93-19b6-edfa-d219-c7785891a706,48.8257,2.3337,75014,48.8565,2.3568,75004,5,7,Saturday,13,59,2.99
1704e146-312c-0940-a497-78e2194c955f,48.8795,2.3581,75010,48.8907,2.3345,75018,6,1,Tuesday,13,49,1.79
ff3fae8c-da52-49ff-1494-3ba6562f1bd2,48.8977,2.3725,75019,48.8844,2.377,75019,9,4,Wednesday,13,46,1.29
6522ff46-74b7-061c-09ce-15a8afd4fc7b,48.8294,2.3436,75013,48.8321,2.389,75012,4,3,Sunday,13,30,2.79
490004e6-6873-6d8a-12ee-6e4697e27d7a,48.8926,2.3495,75018,48.8912,2.3619,75018,9,5,Wednesday,13,16,1.29
315745cc-ccfc-d746-7a44-0b3413e34b3d,48.8372,2.3574,75013,48.8735,2.3424,75009,5,6,Thursday,12,49,2.49
adc8b698-c723-0929-95c0-8df88032a324,48.856,2.3042,75007,48.8477,2.318,75007,7,0,Thursday,12,24,1.79
3e2b6653-2258-edf3-0ff0-952a0b2591c4,48.8855,2.3214,75017,48.8632,2.3341,75001,1,2,Thursday,12,52,2.39
6806643b-a4a1-3198-d65b-79f6804c465b,48.8795,2.321,75008,48.88,2.2865,75017,8,8,Wednesday,14,34,2.49
4eeff333-a849-4a7e-4e72-d3381c2ca464,48.89,2.3684,75019,48.8705,2.4035,75020,5,1,Saturday,12,44,1.69
f5d2148c-ed14-f628-b9e8-ae5604d071fb,48.8678,2.3363,75002,48.8622,2.3536,75003,5,8,Tuesday,14,57,1.49
8f8643af-86e3-96dd-4aaa-3cc8dcc33394,48.8344,2.3621,75013,48.8234,2.3203,75014,1,1,Monday,13,47,1.79
ac642b4c-49b2-5ded-9c31-d9b25a2b745b,48.8685,2.4064,75020,48.8598,2.4103,75020,9,8,Sunday,13,21,1.79
4642cddb-4fbe-2aae-fbf7-0946d6ada066,48.8284,2.3225,75014,48.8171,2.3343,75014,5,9,Friday,12,4,0.99
84f3ffce-29d5-091a-1abb-092d28d483ca,48.8629,2.3575,75003,48.833,2.386,75012,8,8,Monday,12,44,2.19
6c0be55c-90e6-39e1-e44f-c3a96d0c62c3,48.8805,2.4081,75019,48.8675,2.3947,75020,9,9,Monday,13,28,2.09
e1abfa8b-5fde-5164-3e25-98d632ca1ebe,48.8914,2.3107,75017,48.8824,2.3081,75017,2,1,Saturday,14,22,1.49
b51e3a7b-acdf-3038-467c-cafabbe74e1b,48.8533,2.3761,75011,48.8716,2.3947,75020,6,4,Saturday,14,32,2.19
8e51128d-8b12-9b67-aa7f-c4cda908c744,48.8775,2.3782,75019,48.8526,2.3862,75011,6,1,Friday,12,20,2.29
054b34e9-6922-3a46-cdd4-8f958b04fdf2,48.8679,2.4002,75020,48.8708,2.3687,75010,9,5,Thursday,13,26,1.19
84d586db-ca2e-255f-ec5a-35f49cc6bc68,48.8785,2.3031,75008,48.8588,2.3606,75003,6,4,Sunday,14,20,3.59
70f8dd99-5217-7eb7-e6b9-20daba6a098f,48.8833,2.36,75010,48.8596,2.3684,75011,2,1,Thursday,12,55,1.79
5e17ca5f-e53d-1459-7228-ef1113638d54,48.8483,2.3809,75012,48.8818,2.3736,75019,0,2,Tuesday,13,13,2.19
765d13de-4e94-228c-a610-7c6359245ab7,48.8383,2.347,75005,48.8236,2.3648,75013,3,5,Friday,14,32,2.29
2d58cc88-a9ac-3915-bee9-db39b0343d89,48.8577,2.3535,75004,48.8916,2.3403,75018,2,3,Friday,12,6,1.89
d641ba41-8f4b-9bf7-8132-a1c998369a99,48.8648,2.3472,75002,48.8803,2.3646,75010,6,6,Tuesday,12,46,1.19
4c4b91fe-6c14-8fc6-9750-ca7e246cb09c,48.8477,2.3772,75012,48.8682,2.4027,75020,9,5,Thursday,12,46,2.29
7ffc4eea-05f7-e0d1-838b-c6ab9ba0b30f,48.8645,2.3924,75020,48.8769,2.3954,75019,3,9,Friday,13,17,1.59
6ecad5f5-447d-c5a8-325a-c15c33912a64,48.8692,2.4087,75020,48.8705,2.4035,75020,3,1,Saturday,13,10,0.89
9430efd1-2d92-532d-754a-b5b69dd516b4,48.8885,2.3258,75017,48.8588,2.3574,75004,0,5,Thursday,12,21,1.89
966d66ed-741b-beed-e9b9-5826d33f87bb,48.8451,2.2868,75015,48.8484,2.3202,75007,2,3,Saturday,13,11,1.09
e4bacd78-74ab-a9fc-8930-d17952ab793f,48.8261,2.3071,75014,48.848,2.274,75016,5,8,Wednesday,14,7,2.89
7380527c-2f25-a8cd-de69-9e1e2922bc1d,48.8431,2.4102,75012,48.8286,2.3627,75013,1,3,Saturday,12,11,2.39
c914e4e5-4de2-f84f-c47f-3f2bb964a0c7,48.8373,2.3906,75012,48.8724,2.3925,75020,1,1,Sunday,12,8,2.89
8974021b-353d-f269-5380-aebd6ee4fa35,48.8616,2.3645,75003,48.8818,2.3736,75019,6,0,Saturday,13,5,1.69
944846ec-7fb0-32ec-3bc4-b9f88263da78,48.8503,2.2686,75016,48.8282,2.3116,75014,4,8,Tuesday,14,29,2.49
5d005716-7680-891b-6bb6-204ee0db22d3,48.822,2.363,75013,48.8459,2.371,75012,6,6,Tuesday,14,38,1.69
2d53f13c-29a9-464b-cd02-4ec04b2bac3c,48.8936,2.3724,75019,48.8855,2.376,75019,6,0,Tuesday,13,34,0.89
3038fd2f-1199-333c-0927-717d2ca222fd,48.8719,2.2823,75016,48.893,2.3221,75017,9,0,Saturday,14,17,3.29
816241bd-5a57-cde5-f13f-c40b489b9a03,48.8735,2.3424,75009,48.8653,2.3387,75001,8,7,Monday,14,22,1.69
24eac3f4-0c78-c2f9-da41-8b24e0acf9ff,48.841,2.388,75012,48.8337,2.3721,75013,0,4,Wednesday,13,47,1.69
d9371f2a-506e-2fc6-d05d-2cb96b76911f,48.8737,2.3903,75020,48.8471,2.3682,75012,3,2,Friday,14,1,1.89
f4a5cc36-692a-7bce-1af5-5c2688083ebc,48.8737,2.3506,75010,48.8873,2.3549,75018,1,5,Saturday,12,3,1.09
4aef728c-6791-a5d4-6f88-59a5aa02f76e,48.8732,2.3107,75008,48.8487,2.2967,75015,2,4,Tuesday,14,20,1.39
63ba4dc3-ca90-7b30-114e-b0dab17b08ae,48.8584,2.3488,75004,48.8703,2.397,75020,4,7,Thursday,12,32,2.19
4d125e7f-a59c-ec98-126c-bc8f38884479,48.877,2.4107,75020,48.8688,2.3534,75002,6,4,Sunday,12,28,2.59
400a06e9-5ab8-a31b-7a60-689a05dde624,48.8841,2.3617,75010,48.8603,2.4024,75020,4,3,Wednesday,12,26,2.19
68109efb-62b0-1078-277b-75fd164a5c3a,48.8238,2.3766,75013,48.8334,2.3692,75013,0,9,Monday,14,39,1.59
6720fb7b-58f2-1de4-6963-3870c0c9a8fe,48.8511,2.3703,75012,48.8487,2.4118,75020,3,7,Tuesday,14,13,2.99
3eb8a77a-743c-b617-3313-0c573342a08a,48.8808,2.3492,75009,48.8832,2.3156,75017,3,9,Friday,13,17,1.39
a9afa87a-d181-d9bf-aa09-9a46f25a3c68,48.8322,2.3151,75014,48.8337,2.3721,75013,6,3,Saturday,12,29,2.99
7c2b940d-9045-a445-958c-d60ea07f7f47,48.8733,2.3594,75010,48.8541,2.355,75004,4,8,Monday,12,3,1.19
acd85b9f-6ff0-0a21-add7-ae79eb0f6c21,48.846,2.3697,75012,48.8413,2.3684,75013,7,3,Tuesday,14,16,1.09
3c066552-2e49-9493-7c83-153ed11c91f7,48.8258,2.3597,75013,48.8409,2.3497,75005,8,7,Monday,13,29,1.79
88819f42-1a42-b629-14af-e646fe3216bd,48.8588,2.3849,75011,48.8321,2.389,75012,4,6,Sunday,13,33,2.49
70e388bd-a4a9-8afd-1114-75f2217718ac,48.8643,2.3004,75016,48.8531,2.2936,75015,6,6,Saturday,13,52,1.89
991ab513-369f-e284-edc6-41cd921bc646,48.8585,2.3776,75011,48.8655,2.3519,75002,2,0,Wednesday,12,46,1.49
b46c54a5-5763-0d70-0eb7-e062a8077460,48.8616,2.273,75016,48.8714,2.3098,75008,4,9,Tuesday,14,16,1.79
331fcd72-47f5-59ef-b76d-b463b9f15b79,48.8936,2.3724,75019,48.874,2.3461,75009,4,5,Tuesday,14,43,1.79
651fff2d-e94e-d093-5144-634dbe6449c3,48.8782,2.3547,75010,48.8461,2.3489,75005,4,1,Saturday,14,1,3.09
e8f4ad30-0a4d-3590-f9b4-6573878a2aaf,48.8577,2.2847,75016,48.862,2.2662,75016,4,1,Friday,13,49,1.69
99aa5f11-9178-b928-fee7-078a75471ebe,48.8909,2.3584,75018,48.8863,2.3804,75019,0,1,Saturday,13,23,1.49
a2bb6283-3d83-ad7c-39f7-06d40b4ea16d,48.822,2.363,75013,48.8236,2.3648,75013,9,0,Friday,12,55,0.59
f642c8f3-6acf-49eb-0228-4fd9689bba65,48.8477,2.3772,75012,48.8562,2.3253,75007,8,7,Sunday,12,5,2.59
411f92fd-6db1-6e7a-23e0-e84ebc309d33,48.8855,2.376,75019,48.8642,2.3508,75002,8,0,Saturday,14,14,2.79
932e3571-30c5-d670-2f9d-66584b9d4528,48.8247,2.3729,75013,48.8521,2.39,75011,0,2,Wednesday,13,0,1.79
259aabbe-6f18-7807-31b1-71b6225f39f3,48.8664,2.3352,75001,48.881,2.3741,75019,0,3,Sunday,13,43,2.49
7c837381-9587-6790-2916-bc052c22e7a6,48.8843,2.379,75019,48.8835,2.3365,75018,2,7,Saturday,13,26,1.29
527507dd-390c-fd7e-9c9d-a0d29087bf0e,48.8711,2.328,75009,48.8601,2.2734,75016,3,3,Friday,13,56,2.79
6437f920-3b10-563a-3138-90278c286cd4,48.894,2.3771,75019,48.8697,2.3607,75010,5,4,Monday,14,32,2.49
69083bd6-ef61-7cac-c674-d2447b056d02,48.8205,2.3435,75014,48.8571,2.3535,75004,5,8,Tuesday,13,53,2.99
e0def1a0-742a-ca38-842a-ab1ff7e9735b,48.8262,2.3538,75013,48.8284,2.3225,75014,7,3,Wednesday,12,19,1.69
10fc9eee-0a17-27f7-ea5f-24b6de6fec4b,48.8827,2.351,75010,48.8661,2.3299,75001,3,5,Monday,13,6,1.79
17f76b5c-0c09-d6db-cf75-bc58fd7889ef,48.8594,2.285,75016,48.8533,2.2748,75016,0,7,Saturday,12,38,1.29
88953e23-f2c1-c87d-63d8-0690cf4d5d14,48.8576,2.3049,75007,48.8264,2.3052,75014,6,8,Wednesday,13,11,2.79
3f544f83-911d-c9fc-9216-2634754151b0,48.8602,2.3463,75001,48.8877,2.3791,75019,5,0,Thursday,12,54,2.39
0870e15c-2fcd-81b5-d24b-ace4307bf326,48.8722,2.3979,75020,48.8414,2.3949,75012,2,9,Saturday,13,33,2.49
eb8fca44-ed9a-79a2-846f-285629562672,48.8585,2.41,75020,48.8861,2.3775,75019,1,8,Friday,14,24,2.99
b1e75fe1-b94c-9577-92eb-46144b4f8248,48.8406,2.3508,75005,48.822,2.3419,75014,8,2,Tuesday,12,23,1.89
1803b6e7-ee71-50cd-f25b-e180e41f26d3,48.8262,2.3538,75013,48.8494,2.3724,75012,8,1,Thursday,13,58,2.59
986f5ed6-ccf1-96bb-e9f5-e3ab50464be1,48.8751,2.302,75008,48.8927,2.3396,75018,6,0,Monday,12,26,1.59
02114533-d9d1-bb49-d391-e92479cbdc6c,48.8506,2.3742,75012,48.8826,2.3459,75009,0,1,Saturday,14,8,2.99
f51038fd-8b55-2605-1b99-3db9ceaf4dac,48.8869,2.3498,75018,48.8661,2.3299,75001,7,1,Thursday,13,27,2.69
bda2d21f-7fe8-8e46-051c-d1e8e8294364,48.8344,2.2998,75015,48.8489,2.2913,75015,3,7,Wednesday,14,52,1.29
